Agent,Date,Hour,Logged In (sec),Ready (sec),Talk (sec),Ringing (sec),Wrap (sec),Paused (sec),Idle (sec),Untracked (sec),Calls
Ava Rivera,2026-07-20,0,10000,1000,2000,100,200,300,400,500,10
 ava   rivera ,2026-07-20,1,10000,1000,2000,100,200,300,400,500,10
AVA RIVERA,2026-07-20,2,10000,1000,2000,100,200,300,400,500,10
Ava Rivera,2026-07-20,3,10000,1000,2000,100,200,300,400,500,10
Ava Rivera,2026-07-20,4,10000,1000,2000,100,200,300,400,500,10
Ava Rivera,2026-07-20,5,10000,1000,2000,100,200,300,400,500,10
Ava Rivera,2026-07-20,6,10000,1000,2000,100,200,300,400,500,10
Ava Rivera,2026-07-20,7,10000,1000,2000,100,200,300,400,500,10
Ava Rivera,2026-07-20,8,10000,1000,2000,100,200,300,400,500,10
Ava Rivera,2026-07-20,9,10000,1000,2000,100,200,300,400,500,10
Ava Rivera,2026-07-20,25,10000,1000,2000,100,200,300,400,500,10
Jordan Smith,2026-07-20,0,3600,600,1200,60,60,300,300,0,5
JORDAN   SMITH,2026-07-20,1,3600,600,1200,60,60,300,300,0,5
Mia Patel,2026-07-20,0,1800,500,500,50,50,100,100,100,2
